"thumbnail href","img-fluid src","img-fluid src 2","product-category-name","h3","product-reference","product-price","product-description-short","product-brand","product-flag 2","regular-price"
"https://allforpadel.com/en/padel-rackets/7414-adidas-cross-it-carbon-maxi-arce-racket-8435739405710.html","https://allforpadel.com/7842-home_default/adidas-cross-it-carbon-maxi-arce-racket.jpg","https://allforpadel.com/7839-home_default/adidas-cross-it-carbon-maxi-arce-racket.jpg","Padel rackets","adidas Cross It Carbon-Maxi Arce racket","AR1AA5U12","€280.00","Enter the future of padel with Maxi Arce's racket, designed for players who dominate with control. Its oversized diamond shape and head balance offer precision and power in every shot. Maxi chose it for a reason: it's made to win.","","",""
"https://allforpadel.com/en/padel-rackets/7413-adidas-metalbone-pro-edt-2025-racket-ale-galan-8435739405680.html","https://allforpadel.com/7905-home_default/adidas-metalbone-pro-edt-2025-racket-ale-galan.jpg","https://allforpadel.com/8014-home_default/adidas-metalbone-pro-edt-2025-racket-ale-galan.jpg","Padel rackets","adidas Metalbone Pro Edt 2025 Racket Ale Galán","AR1AA4U11","€425.00","The adidas Metalbone Pro Edt 2025 is a limited-edition racket developed in collaboration with Ale Galán. From Madrid to the world, Ale has redefined what it means to compete with character, intelligence, and power. This racket draws inspiration from Mercury’s energy: fast, unpredictable, precise. It’s made for those who play on the edge, without compromise.","","",""
"https://allforpadel.com/en/padel-rackets/7415-adidas-adipower-ctrl-mtw-pro-edt-2025-racket-alex-ruiz-8435739405673.html","https://allforpadel.com/7883-home_default/adidas-adipower-ctrl-mtw-pro-edt-2025-racket-alex-ruiz.jpg","https://allforpadel.com/8015-home_default/adidas-adipower-ctrl-mtw-pro-edt-2025-racket-alex-ruiz.jpg","Padel rackets","adidas Adipower Ctrl Mtw Pro Edt 2025 Racket Alex Ruiz","AR1CA8U16","€450.00","The adidas Adipower CTRL MTW Pro Edt 2025 is a limited edition co-designed with Álex Ruiz, the great captain. From Málaga and marked by the strength of the Sun, this racket embodies the perfect harmony of power and composure, the unmistakable hallmark of Álex’s game.","","",""
"https://allforpadel.com/en/padel-rackets/7417-adidas-metalbone-09-racket-8435739403617.html","https://allforpadel.com/7663-home_default/adidas-metalbone-09-racket.jpg","https://allforpadel.com/7661-home_default/adidas-metalbone-09-racket.jpg","Padel rackets","adidas Metalbone 09 Racket","AR6AA4U69","€220.00","Created exclusively for the well-known content creator Delantero09, this padel racquet is designed for high-performance players. It offers power, control, and precise spins, making it perfect for those looking to stand out on the court.","","",""
"https://allforpadel.com/en/padel-rackets/7418-adidas-adipower-A1-racket-8435739403624.html","https://allforpadel.com/7571-home_default/adidas-adipower-A1-racket.jpg","https://allforpadel.com/7572-home_default/adidas-adipower-A1-racket.jpg","Padel rackets","adidas Adipower A1 Racket","AR6AA5U22","€220.00","Power, control, and durability in every shot. Exclusive edition designed for the most demanding players.","adidas","",""
"https://allforpadel.com/en/padel-rackets/7420-padel-racket-adidas-granite-ctrl-20-8435739402702.html","https://allforpadel.com/7609-home_default/padel-racket-adidas-granite-ctrl-20.jpg","https://allforpadel.com/7608-home_default/padel-racket-adidas-granite-ctrl-20.jpg","Padel rackets","adidas Granite Ctrl 2.0 racquet","ADRK6CA3U0040F","€60.00","Control and precision in a unique racquet with an exclusive design.","adidas Exclusivo","-60%","€150.00"
"https://allforpadel.com/en/padel-rackets/7419-adidas-padel-racquet-granite-20-8435739402696.html","https://allforpadel.com/7605-home_default/adidas-padel-racquet-granite-20.jpg","https://allforpadel.com/7604-home_default/adidas-padel-racquet-granite-20.jpg","Padel rackets","adidas Granite 2.0 racquet","ADRK6AA1U0066F","€56.00","Perfect balance of power, control, and spin for players looking to dominate the game.","adidas Exclusivo","-60%","€140.00"
"https://allforpadel.com/en/padel-rackets/7421-padel-racket-Granite-20-Pro-Carbon-8435739402719.html","https://allforpadel.com/7611-home_default/padel-racket-Granite-20-Pro-Carbon.jpg","https://allforpadel.com/7610-home_default/padel-racket-Granite-20-Pro-Carbon.jpg","Padel rackets","adidas Granite Pro Carbon 2.0 racquet","ADRK6CA4U0034F","€112.50","Power, control, anPower, control, and a unique design for players who want to stand out on the court d a unique design for players who want to stand out on the court.","adidas Exclusivo","-55%","€250.00"
"https://allforpadel.com/en/padel-rackets/7287-padel-racket-adidas-metalbone-34-ale-galan-8435739402740.html","https://allforpadel.com/7868-home_default/padel-racket-adidas-metalbone-34-ale-galan.jpg","https://allforpadel.com/6774-home_default/padel-racket-adidas-metalbone-34-ale-galan.jpg","Padel rackets","adidas Metalbone 3.4 - Ale Galán Racket","AR1AA0U22","€390.00","Ale Galán’s new racquet takes you to the elite. Master every detail and reach the highest levels of power. Awarded in the POWER category of the Best Padel Awards 2025","","",""
"https://allforpadel.com/en/padel-rackets/7323-adidas-metalbone-hrd-34-racket-ale-galan-8435739402764.html","https://allforpadel.com/6805-home_default/adidas-metalbone-hrd-34-racket-ale-galan.jpg","https://allforpadel.com/6806-home_default/adidas-metalbone-hrd-34-racket-ale-galan.jpg","Padel rackets","adidas Metalbone HRD+ 3.4 - Ale Galán Racket","AR1AA1U22","€390.00","Ale Galán’s racquet embodies the perfect balance of excellence, innovation, and unrivalled power","","",""
