"productCard-itemImages-zxS href","undefined src","badges-item-tAB","productCard-itemName-AYf","price-finalPrice-Kq2 2"
"https://www.head.com/nl_NL/product/elite-ltd-2025-221095","https://cdn-mdb.head.com/CDN3/G/221095/1/683x911/elite-ltd-2025.webp","New","HEAD Elite LTD Padel Racket","280"
"https://www.head.com/nl_NL/product/extreme-pro-2025-223125","https://cdn-mdb.head.com/CDN3/G/223125/1/683x911/extreme-pro-2025.webp","New","HEAD Extreme Pro Padel Racket","280"
"https://www.head.com/nl_NL/product/extreme-motion-2025-223135","https://cdn-mdb.head.com/CDN3/G/223135/1/683x911/extreme-motion-2025.webp","New","HEAD Extreme Motion Padel Racket","240"
"https://www.head.com/nl_NL/product/extreme-team-2025-223145","https://cdn-mdb.head.com/CDN3/G/223145/1/683x911/extreme-team-2025.webp","New","HEAD Extreme Team Padel Racket","200"
"https://www.head.com/nl_NL/product/evo-extreme-2025-226415","https://cdn-mdb.head.com/CDN3/G/226415/1/683x911/evo-extreme-2025.webp","New","HEAD Evo Extreme Padel Racket","90"
"https://www.head.com/nl_NL/product/coello-pro-2025-special-packaging-225045","https://cdn-mdb.head.com/CDN3/G/225045/1/683x911/coello-pro-2025-special-packaging.webp","New","HEAD Coello Pro Padel Racket","350"
"https://www.head.com/nl_NL/product/coello-pro-2025-225015","https://cdn-mdb.head.com/CDN3/G/225015/1/683x911/coello-pro-2025.webp","New","HEAD Coello Pro Padel Racket","350"
"https://www.head.com/nl_NL/product/coello-motion-2025-225025","https://cdn-mdb.head.com/CDN3/G/225025/1/683x911/coello-motion-2025.webp","New","HEAD Coello Motion Padel Racket","350"
"https://www.head.com/nl_NL/product/coello-team-2025-225035","https://cdn-mdb.head.com/CDN3/G/225035/1/683x911/coello-team-2025.webp","New","HEAD Coello Team Padel Racket","220"
"https://www.head.com/nl_NL/product/speed-one-x-2025-221045","https://cdn-mdb.head.com/CDN3/G/221045/1/683x911/speed-one-x-2025.webp","","HEAD Speed One X Padel Racket","300"
