"media href","img-fit src","media","product-label 2","product-brand-logo src","card-link","price__current","price__was","price__was 2","price__adviesprijs-badge","price__adviesprijs-amount","price__adviesprijs-amount 2"
"https://justpadel.com/en/collections/padel-rackets/products/tecnifibre-wall-breaker-365","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/tecnifibre-wall-breaker-365-9408431.png?v=1758553991&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Tecnifibre Wall Breaker 365 - "">","Sale","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/TECNIFIBRE.svg?v=1751361593","Tecnifibre Wall Breaker 365","€74","€249","95","","",""
"https://justpadel.com/en/collections/padel-rackets/products/siux-electra-st4-pro","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/siux-electra-st4-pro-3515227.jpg?v=1758195552&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Siux Electra ST4 Pro - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/siux-new.svg?v=1762266059","Siux Electra ST4 Pro","€209","","","List price:","€324","95"
"https://justpadel.com/en/collections/padel-rackets/products/tecnifibre-wall-breaker-375","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/tecnifibre-wall-breaker-375-2083961.png?v=1758195655&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Tecnifibre Wall Breaker 375 - "">","Sale","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/TECNIFIBRE.svg?v=1751361593","Tecnifibre Wall Breaker 375","€89","€279","95","","",""
"https://justpadel.com/en/collections/padel-rackets/products/wilson-bela-v2-junior","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/wilson-bela-v2-junior-6008764.jpg?v=1758196705&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Wilson Bela V2 Junior - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/WILSON.svg?v=1751634197","Wilson Bela V2 Junior","€44","","","List price:","€139","95"
"https://justpadel.com/en/collections/padel-rackets/products/nox-at10-genius-12k-by-augustin-tapia-2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/nox-at10-genius-12k-by-agustin-tapia-2025-3855520.jpg?v=1758195357&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""NOX AT10 Genius 12K By Agustin Tapia 2025 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/nox.svg?v=1751631714","NOX AT10 Genius 12K By Agustin Tapia 2025","€199","","","List price:","€339","95"
"https://justpadel.com/en/collections/padel-rackets/products/tecnifibre-wall-breaker-360","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/tecnifibre-wall-breaker-360-8584261.png?v=1758195655&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Tecnifibre Wall Breaker 360 - "">","Sale","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/TECNIFIBRE.svg?v=1751361593","Tecnifibre Wall Breaker 360","€59","€159","95","","",""
"https://justpadel.com/en/collections/padel-rackets/products/siux-beat-hybrid-2","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/siux-beat-hybrid-2-9222675.jpg?v=1758195370&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Siux Beat Hybrid 2 - "">","Sale","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/siux-new.svg?v=1762266059","Siux Beat Hybrid 2","€54","€84","95","","",""
"https://justpadel.com/en/collections/padel-rackets/products/siux-diablo-sanyo-pro-4","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/siux-diablo-pro-4-7840113.jpg?v=1758195553&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Siux Diablo Pro 4 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/siux-new.svg?v=1762266059","Siux Diablo Pro 4","€199","","","List price:","€324","95"
"https://justpadel.com/en/collections/padel-rackets/products/siux-trilogy-pro-4","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/siux-trilogy-pro-4-2069272.jpg?v=1759833318&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Siux Trilogy Pro 4 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/siux-new.svg?v=1762266059","Siux Trilogy Pro 4","€139","","","List price:","€294","95"
"https://justpadel.com/en/collections/padel-rackets/products/adidas-metalbone-3-4","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/adidas-metalbone-34-1619161.jpg?v=1758195290&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Adidas Metalbone 3.4 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/adidas.svg?v=1751631714","Adidas Metalbone 3.4","€264","","","List price:","€389","95"
