"product-link href","comingSoonBadge2","inline-image__image src","comingSoonBadge2 2","background-image__image src","background-image__image src 2","image-page-button href","quick-action-button href","product-block__title","money","product-label","money 2","money 3","product-label 2"
"https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-at10-genius-18k-alum-2026-by-agustin-tapia","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/at10-luxury-genius-18k-alum-2026-by-agustin-tapia-pat10genius1826-8435778902621-2175122.png?v=1758604499&width=1200","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/at10-luxury-genius-18k-alum-2026-by-agustin-tapia-pat10genius1826-8435778902621-1209547.png?v=1758604499","https://noxsport.com/cdn/shop/files/at10-luxury-genius-18k-alum-2026-by-agustin-tapia-pat10genius1826-8435778902621-7600067.jpg?v=1758604499","https://noxsport.com/en/collections/all-the-rackets-nox#","https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-at10-genius-18k-alum-2026-by-agustin-tapia","AT10 Luxury Genius 18K Alum 2026 by Agustín Tapia","389,99 €","","","",""
"https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-at10-genius-attack-12k-alum-xtrem-2026-by-agustin-tapia","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/at10-luxury-genius-attack-12k-alum-xtrem-2026-by-agustin-tapia-pat10geniusat1226-8435778902669-3810595.png?v=1758604503&width=1200","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/at10-luxury-genius-attack-12k-alum-xtrem-2026-by-agustin-tapia-pat10geniusat1226-8435778902669-9387021.png?v=1758604502","https://noxsport.com/cdn/shop/files/at10-luxury-genius-attack-12k-alum-xtrem-2026-by-agustin-tapia-pat10geniusat1226-8435778902669-1457591.jpg?v=1758604501","https://noxsport.com/en/collections/all-the-rackets-nox#","https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-at10-genius-attack-12k-alum-xtrem-2026-by-agustin-tapia","AT10 Luxury Genius Attack 12K Alum XTREM 2026 by Agustín Tapia","359,99 €","","","",""
"https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-at10-genius-attack-18k-alum-2026-by-agustin-tapia","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/at10-luxury-genius-attack-18k-alum-2026-by-agustin-tapia-pat10geniusat1826-8435778902638-4015240.png?v=1758604501&width=1200","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/at10-luxury-genius-attack-18k-alum-2026-by-agustin-tapia-pat10geniusat1826-8435778902638-7258691.png?v=1758604503","https://noxsport.com/cdn/shop/files/at10-luxury-genius-attack-18k-alum-2026-by-agustin-tapia-pat10geniusat1826-8435778902638-7579475.png?v=1758604504","https://noxsport.com/en/collections/all-the-rackets-nox#","https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-at10-genius-attack-18k-alum-2026-by-agustin-tapia","AT10 Luxury Genius ATTACK 18K Alum 2026 by Agustín Tapia","359,99 €","","","",""
"https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-at10-genius-12k-alum-xtrem-2026-by-agustin-tapia","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/at10-luxury-genius-12k-alum-xtrem-2026-by-agustin-tapia-pat10genius1226-8435778902645-9466941.png?v=1758604499&width=1200","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/at10-luxury-genius-12k-alum-xtrem-2026-by-agustin-tapia-pat10genius1226-8435778902645-3128828.png?v=1758604499","https://noxsport.com/cdn/shop/files/at10-luxury-genius-12k-alum-xtrem-2026-by-agustin-tapia-pat10genius1226-8435778902645-3046923.jpg?v=1758604498","https://noxsport.com/en/collections/all-the-rackets-nox#","https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-at10-genius-12k-alum-xtrem-2026-by-agustin-tapia","AT10 Luxury Genius 12K Alum XTREM 2026 by Agustín Tapia","389,99 €","","","",""
"https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-at10-genius-12k-alum-xtrem-lite-2026-by-agustin-tapia","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/at10-luxury-genius-12k-alum-xtrem-lite-2026-by-agustin-tapia-pat10genius12li26-8435778902652-8162701.png?v=1758604498&width=1200","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/at10-luxury-genius-12k-alum-xtrem-lite-2026-by-agustin-tapia-pat10genius12li26-8435778902652-3609485.png?v=1758604499","https://noxsport.com/cdn/shop/files/at10-luxury-genius-12k-alum-xtrem-lite-2026-by-agustin-tapia-pat10genius12li26-8435778902652-1043353.png?v=1758604499","https://noxsport.com/en/collections/all-the-rackets-nox#","https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-at10-genius-12k-alum-xtrem-lite-2026-by-agustin-tapia","AT10 Luxury Genius 12K Alum XTREM Lite 2026 by Agustín Tapia","339,99 €","","","",""
"https://noxsport.com/en/collections/all-the-rackets-nox/products/ea10-ventus-hybrid-12k-xtrem-by-edu-alonso","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/ea10-ventus-hybrid-12k-xtrem-by-edu-alonso-pea10ventush1226-8435778902676-9207640.png?v=1758604496&width=1200","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/ea10-ventus-hybrid-12k-xtrem-by-edu-alonso-pea10ventush1226-8435778902676-1257440.png?v=1758604495","https://noxsport.com/cdn/shop/files/ea10-ventus-hybrid-12k-xtrem-by-edu-alonso-pea10ventush1226-8435778902676-8017344.jpg?v=1758604494","https://noxsport.com/en/collections/all-the-rackets-nox#","https://noxsport.com/en/collections/all-the-rackets-nox/products/ea10-ventus-hybrid-12k-xtrem-by-edu-alonso","EA10 Ventus Hybrid 12K XTREM by Edu Alonso","339,99 €","","","",""
"https://noxsport.com/en/collections/all-the-rackets-nox/products/ea10-ventus-attack-12k-xtrem-by-edu-alonso","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/ea10-ventus-attack-12k-xtrem-by-edu-alonso-pea10ventusa1226-8435778902683-7841159.png?v=1758604500&width=1200","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/ea10-ventus-attack-12k-xtrem-by-edu-alonso-pea10ventusa1226-8435778902683-4794004.png?v=1758604501","https://noxsport.com/cdn/shop/files/ea10-ventus-attack-12k-xtrem-by-edu-alonso-pea10ventusa1226-8435778902683-9360115.jpg?v=1758604498","https://noxsport.com/en/collections/all-the-rackets-nox#","https://noxsport.com/en/collections/all-the-rackets-nox/products/ea10-ventus-attack-12k-xtrem-by-edu-alonso","EA10 Ventus Attack 12K XTREM by Edu Alonso","339,99 €","","","",""
"https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-ml10-ventus-3k-by-miguel-lamperti","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/ml10-ventus-control-3k-by-miguel-lamperti-pml10ventus326-8435778902690-1107820.png?v=1758604428&width=1200","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/ml10-ventus-control-3k-by-miguel-lamperti-pml10ventus326-8435778902690-4754511.png?v=1758604427","https://noxsport.com/cdn/shop/files/ml10-ventus-control-3k-by-miguel-lamperti-pml10ventus326-8435778902690-1024076.jpg?v=1758604426","https://noxsport.com/en/collections/all-the-rackets-nox#","https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-ml10-ventus-3k-by-miguel-lamperti","ML10 Ventus Control 3K by Miguel Lamperti","339,99 €","","","",""
"https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-vk10-ventus-12k-by-aranzazu-osoro","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/vk10-ventus-control-12k-by-aranzazu-osoro-pvk10ventus1226-8435778902706-3301494.png?v=1758604494&width=1200","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/vk10-ventus-control-12k-by-aranzazu-osoro-pvk10ventus1226-8435778902706-5134323.png?v=1758604496","https://noxsport.com/cdn/shop/files/vk10-ventus-control-12k-by-aranzazu-osoro-pvk10ventus1226-8435778902706-6263742.jpg?v=1758604494","https://noxsport.com/en/collections/all-the-rackets-nox#","https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-vk10-ventus-12k-by-aranzazu-osoro","VK10 Ventus Control 12K by Aranzazu Osoro","299,99 €","","","",""
"https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-ventus-12k-hybrid-lite","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/ventus-hybrid-12k-lite-pventus12hl-8435778902713-2355266.png?v=1758604496&width=1200","Pre-compra / Pre-order","https://noxsport.com/cdn/shop/files/ventus-hybrid-12k-lite-pventus12hl-8435778902713-1990314.png?v=1758643605","https://noxsport.com/cdn/shop/files/ventus-hybrid-12k-lite-pventus12hl-8435778902713-5610049.png?v=1758643605","https://noxsport.com/en/collections/all-the-rackets-nox#","https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-ventus-12k-hybrid-lite","Ventus Hybrid 12K Lite","299,99 €","","","",""
