"badge","product-card__media href","product-card__image src","product-card__image src 2","sr-only","product-title","h6","sr-only 2","h6 2","sr-only 3","badge 2"
"Save 89,00€","https://www.siuxpadel.com/en/products/siux-electra-4-flow","https://www.siuxpadel.com/cdn/shop/files/ElectraST4Flow.6copia.webp?v=1759852188&width=1000","https://www.siuxpadel.com/cdn/shop/files/ElectraST4Flow.6.3copia.webp?v=1759852622&width=1000","Add to cart","SIUX ELECTRA 4 SPECIAL EDITION FLOW","140€","Sale price","229€","Regular price",""
"Save 95,05€","https://www.siuxpadel.com/en/products/siux-fenix-pro-5","https://www.siuxpadel.com/cdn/shop/files/Fenix5ProNF.3.1.webp?v=1741284333&width=1000","https://www.siuxpadel.com/cdn/shop/files/Fenix5ProNF.3.4.webp?v=1741284333&width=1000","","SIUX FENIX PRO 5","229,95€","Sale price","325€","Regular price","Sold out"
"Save 95,05€","https://www.siuxpadel.com/en/products/siux-diablo-pro-4","https://www.siuxpadel.com/cdn/shop/files/DiabloPro4.1.1_8e67cec5-c5dc-4a2d-aed5-873ae4ae4c03.webp?v=1741281497&width=1000","https://www.siuxpadel.com/cdn/shop/files/DiabloPro4.1.4_6cf17067-359d-41ee-ba2d-c6003302cc60.webp?v=1741281497&width=1000","Add to cart","SIUX DIABLO PRO 4","229,95€","Sale price","325€","Regular price",""
"Save 95,05€","https://www.siuxpadel.com/en/products/siux-trilogy-pro-5","https://www.siuxpadel.com/cdn/shop/files/Trilogy5Pro.4.1.webp?v=1741284315&width=1000","https://www.siuxpadel.com/cdn/shop/files/Trilogy5Pro.4.4.webp?v=1741284315&width=1000","","SIUX TRILOGY PRO 5","229,95€","Sale price","325€","Regular price","Sold out"
"Save 59,05€","https://www.siuxpadel.com/en/products/siux-fenix-elite-5","https://www.siuxpadel.com/cdn/shop/files/Fenix5Elite.3.1.png?v=1741284337&width=3000","https://www.siuxpadel.com/cdn/shop/files/Fenix5Elite.3.4.png?v=1741284337&width=3000","Add to cart","SIUX FENIX ELITE 5","169,95€","Sale price","229€","Regular price",""
"Save 59,05€","https://www.siuxpadel.com/en/products/siux-diablo-elite-4","https://www.siuxpadel.com/cdn/shop/files/DiabloElite4.2.1.webp?v=1741284563&width=1000","https://www.siuxpadel.com/cdn/shop/files/DiabloElite4.2.4.webp?v=1741284563&width=1000","Add to cart","SIUX DIABLO ELITE 4","169,95€","Sale price","229€","Regular price",""
"Save 59,05€","https://www.siuxpadel.com/en/products/siux-trilogy-elite-5","https://www.siuxpadel.com/cdn/shop/files/Trilogy5Elite.1.1.png?v=1741284319&width=3000","https://www.siuxpadel.com/cdn/shop/files/Trilogy5Elite.1.4.png?v=1741284319&width=3000","Add to cart","SIUX TRILOGY ELITE 5","169,95€","Sale price","229€","Regular price",""
"Save 59,04€","https://www.siuxpadel.com/en/products/siux-valkiria-elite","https://www.siuxpadel.com/cdn/shop/files/ValkiriaElite.3.1.png?v=1741284307&width=3000","https://www.siuxpadel.com/cdn/shop/files/ValkiriaElite.3.4.png?v=1741284307&width=3000","Add to cart","SIUX VALKYRIE ELITE","169,96€","Sale price","229€","Regular price",""
"Save 61,00€","https://www.siuxpadel.com/en/products/siux-gea","https://www.siuxpadel.com/cdn/shop/files/Gea.2.1.webp?v=1745834611&width=1000","https://www.siuxpadel.com/cdn/shop/files/Gea.2.4.webp?v=1745834708&width=1000","Add to cart","SIUX GEA","149€","Sale price","210€","Regular price",""
"Save 44,00€","https://www.siuxpadel.com/en/products/siux-diablo-go-4","https://www.siuxpadel.com/cdn/shop/files/DiabloGo4.6.1.png?v=1741284566&width=3000","https://www.siuxpadel.com/cdn/shop/files/DiabloGo4.6.4.png?v=1741284566&width=3000","Add to cart","SIUX DIABLO GO 4","95€","Sale price","139€","Regular price",""
"Save 44,00€","https://www.siuxpadel.com/en/products/siux-diablo-go-3","https://www.siuxpadel.com/cdn/shop/files/DiabloGo3.01.1.webp?v=1741286016&width=1000","https://www.siuxpadel.com/cdn/shop/files/DiabloGo3.04.4.webp?v=1741286016&width=1000","Add to cart","SIUX DIABLO GO 3","95€","Sale price","139€","Regular price",""
"Save 44,00€","https://www.siuxpadel.com/en/products/siux-electra-go-4","https://www.siuxpadel.com/cdn/shop/files/ElectraGo4.1.1.webp?v=1741284349&width=1000","https://www.siuxpadel.com/cdn/shop/files/ElectraGo4.1.4.webp?v=1741284349&width=1000","Add to cart","SIUX ELECTRA GO 4","95€","Sale price","139€","Regular price",""
"Save 44,00€","https://www.siuxpadel.com/en/products/siux-trilogy-go-5","https://www.siuxpadel.com/cdn/shop/files/Trilogy5Go.1.1.webp?v=1741284323&width=1000","https://www.siuxpadel.com/cdn/shop/files/Trilogy5Go.1.4.webp?v=1741284323&width=1000","Add to cart","SIUX TRILOGY GO 5","95€","Sale price","139€","Regular price",""
"Save 44,00€","https://www.siuxpadel.com/en/products/siux-valikiria-go","https://www.siuxpadel.com/cdn/shop/files/ValkiriaGo.1.1.webp?v=1741284311&width=1000","https://www.siuxpadel.com/cdn/shop/files/ValkiriaGo.1.4.webp?v=1741284311&width=1000","Add to cart","SIOUX VALKYRIE GO","95€","Sale price","139€","Regular price",""
"","https://www.siuxpadel.com/en/products/siux-ultra-pro","https://www.siuxpadel.com/cdn/shop/files/UltraPro.1.webp?v=1741285964&width=1000","https://www.siuxpadel.com/cdn/shop/files/UltraPro.4.webp?v=1741285964&width=1000","Sale price","SIUX ULTRA PRO","349€","","","","Sold out"
"","https://www.siuxpadel.com/en/products/siux-pegasus-revolution-2","https://www.siuxpadel.com/cdn/shop/files/Pegasus2Pro.01.1.webp?v=1741285985&width=1000","https://www.siuxpadel.com/cdn/shop/files/Pegasus2Pro.04.4.webp?v=1741285985&width=1000","Sale price","SIUX PEGASUS REVOLUTION 2 PRO","349€","","","","Sold out"
"Save 95,05€","https://www.siuxpadel.com/en/products/siux-fenix-pro-5-black","https://www.siuxpadel.com/cdn/shop/files/Fenix5ProBlack.1.1_34693058-5df9-4bfa-8371-3e6915a8aaaa.webp?v=1742897951&width=1000","https://www.siuxpadel.com/cdn/shop/files/Fenix5ProBlack.1.4_a13bb892-52c8-46bb-be9a-02004ef236b6.webp?v=1742897970&width=1000","","SIUX FENIX PRO 5 BLACK","229,95€","Sale price","325€","Regular price","Sold out"
"Save 95,05€","https://www.siuxpadel.com/en/products/siux-valkiria-pro","https://www.siuxpadel.com/cdn/shop/files/ValkiriaProNF.7.1.webp?v=1741284301&width=1000","https://www.siuxpadel.com/cdn/shop/files/ValkiriaProNF.7.4.webp?v=1741284301&width=1000","","SIUX VALKYRIE PRO","229,95€","Sale price","325€","Regular price","Sold out"
"Save 95,05€","https://www.siuxpadel.com/en/products/siux-electra-stupa-pro-st4","https://www.siuxpadel.com/cdn/shop/files/ElectraPro4.1.1.png?v=1741284341&width=3000","https://www.siuxpadel.com/cdn/shop/files/ElectraPro4.1.4.webp?v=1741284341&width=800","","SIUX ELECTRA STUPA PRO ST4","229,95€","Sale price","325€","Regular price","Sold out"
"","https://www.siuxpadel.com/en/products/siux-spyder-lite-ctrl-3-hard","https://www.siuxpadel.com/cdn/shop/files/SpyderRevolution3ctrl.1.webp?v=1741285978&width=1000","https://www.siuxpadel.com/cdn/shop/files/SpyderRevolution3ctrl.4.webp?v=1741285978&width=1000","Sale price","SIUX SPYDER LITE CTRL 3 HARD","229€","","","","Sold out"
"","https://www.siuxpadel.com/en/products/siux-spyder-lite-3-hard","https://www.siuxpadel.com/cdn/shop/files/SpyderRevolution.1.webp?v=1741285982&width=1000","https://www.siuxpadel.com/cdn/shop/files/SpyderRevolution.4.webp?v=1741285982&width=1000","Sale price","SIUX SPYDER LITE 3 HARD","229€","","","","Sold out"
"","https://www.siuxpadel.com/en/products/siux-trilogy-control-pro-4","https://www.siuxpadel.com/cdn/shop/files/Trilogy4Pro.01.1.webp?v=1741285968&width=1000","https://www.siuxpadel.com/cdn/shop/files/Trilogy4Pro.04.4.webp?v=1741285968&width=1000","Sale price","SIUX TRILOGY CONTROL PRO 4","195€","","","","Sold out"
"","https://www.siuxpadel.com/en/products/siux-fenix-pro-4","https://www.siuxpadel.com/cdn/shop/files/Fenix4Pro.01.webp?v=1741285992&width=1000","https://www.siuxpadel.com/cdn/shop/files/Fenix4Pro.04.webp?v=1741285992&width=1000","Sale price","SIUX FENIX PRO 4","195€","","","","Sold out"
"","https://www.siuxpadel.com/en/products/siux-diablo-revolution-lite-3","https://www.siuxpadel.com/cdn/shop/files/DiabloLite3.01.1.webp?v=1741286012&width=1000","https://www.siuxpadel.com/cdn/shop/files/DiabloLite3.04.4.webp?v=1741286013&width=1000","Sale price","SIUX DIABLO REVOLUTION LITE 3","139€","","","","Sold out"
"","https://www.siuxpadel.com/en/products/siux-electra-lite-3","https://www.siuxpadel.com/cdn/shop/files/Electralite.1.webp?v=1741286001&width=1000","https://www.siuxpadel.com/cdn/shop/files/Electralite.4.webp?v=1741286001&width=1000","Sale price","SIUX ELECTRA LITE 3","139€","","","","Sold out"
"","https://www.siuxpadel.com/en/products/siux-trilogy-lite-air-4","https://www.siuxpadel.com/cdn/shop/files/Trilogy4Lite.01.1.webp?v=1747162710&width=1000","https://www.siuxpadel.com/cdn/shop/files/Trilogy_4_Lite.04.4_e8723408-4f05-47ff-a007-e0489218013f.webp?v=1747162746&width=1000","Sale price","SIUX TRILOGY LITE AIR 4","139€","","","","Sold out"
"","https://www.siuxpadel.com/en/products/siux-trilogy-lite-air-4-w","https://www.siuxpadel.com/cdn/shop/files/Trilogy4LiteW_resized_1000x1000_383c9efb-e2e3-4e5c-a041-fd051cb47e67.png?v=1741285961&width=1000","https://www.siuxpadel.com/cdn/shop/files/Trilogy4LiteW_resized_1000x1000_v2.png?v=1741285961&width=1000","Sale price","SIUX TRILOGY LITE AIR 4 W","139€","","","","Sold out"
"","https://www.siuxpadel.com/en/products/siux-electra-go-3","https://www.siuxpadel.com/cdn/shop/files/Electrago.1.webp?v=1741286005&width=1000","https://www.siuxpadel.com/cdn/shop/files/Electrago.4.webp?v=1741286005&width=1000","Sale price","SIUX ELECTRA GO 3","119€","","","","Sold out"
"Save 20,00€","https://www.siuxpadel.com/en/products/siux-fenix-lite-4","https://www.siuxpadel.com/cdn/shop/files/Fenix4Lite.01.1.webp?v=1741285989&width=1000","https://www.siuxpadel.com/cdn/shop/files/Fenix4Lite.04.4.webp?v=1741285989&width=1000","","SIUX FENIX ELITE 4","119€","Sale price","139€","Regular price","Sold out"
"","https://www.siuxpadel.com/en/products/siux-trilogy-go-4","https://www.siuxpadel.com/cdn/shop/files/Trilogy4Go.1.webp?v=1741285975&width=1000","https://www.siuxpadel.com/cdn/shop/files/Trilogy4Go.4.webp?v=1741285975&width=1000","Sale price","SIUX TRILOGY GO 4","115€","","","","Sold out"
"","https://www.siuxpadel.com/en/products/siux-fenix-go-4","https://www.siuxpadel.com/cdn/shop/files/Fenix4Go.01.1.webp?v=1741285996&width=1000","https://www.siuxpadel.com/cdn/shop/files/Fenix4Go.04.4.webp?v=1741285996&width=1000","Sale price","SIUX FENIX GO 4","115€","","","","Sold out"
"Save 25,05€","https://www.siuxpadel.com/en/products/siux-beat-control-2","https://www.siuxpadel.com/cdn/shop/files/BeatControl2.1.1_113a7e0b-6e90-40d4-839a-b3b291f9e0d5.webp?v=1741284577&width=1000","https://www.siuxpadel.com/cdn/shop/files/BeatControl2.1.4.webp?v=1741284577&width=1000","","SIUX BEAT CONTROL 2","59,95€","Sale price","85€","Regular price","Sold out"
