"block href","media src","loaded src","loaded src 2","loaded src 3","hidden","product-card__title","price__regular","flex","flex 2","button"
"https://starvie.com/en/products/black-titan","https://starvie.com/cdn/shop/files/Black_Titan_pala_padel_STARVIE.MAIN.png?v=1757412094&width=2000","https://starvie.com/cdn/shop/files/BlackTitanpalapadelSTARVIE.PT01_a1798752-9ab2-4278-a7e2-0a362d830fe5.png?v=1757412094&width=2000","https://starvie.com/cdn/shop/files/BlackTitanpalapadelSTARVIE.PT02_fc10b49b-f3fc-4311-a0d9-41b0cebbda8e.png?v=1757412094&width=2000","https://starvie.com/cdn/shop/files/BlackTitanpalapadelSTARVIE.PT03_74515caf-79bb-42ae-8330-e865ba8c7ec2.png?v=1757412094&width=2000","Add to cart","Black Titan","€320,00","Professional and Semi Pro","Attack",""
"https://starvie.com/en/products/raptor","https://starvie.com/cdn/shop/files/Raptor_pala_de_padel_STARVIE.MAIN_34eea7db-4352-43b6-b0b9-ebecca23a059.png?v=1757412648&width=2000","https://starvie.com/cdn/shop/files/Raptor_paladepadelSTARVIE.PT01_bd6fa37e-9288-4c72-974a-50813dfbf018.png?v=1757412648&width=2000","https://starvie.com/cdn/shop/files/Raptor_paladepadelSTARVIE.PT02_f3f0d4c0-8e3e-468f-b7ec-90f3b43bbdb6.png?v=1757412648&width=2000","https://starvie.com/cdn/shop/files/Raptor_paladepadelSTARVIE.PT03_515394d4-8187-44f8-a4e5-b1f8d68ece45.png?v=1757412648&width=2000","","Raptor +","€315,00","Professional and Semi Pro","Versatile","Sold Out"
"https://starvie.com/en/products/astrum","https://starvie.com/cdn/shop/files/Astrum_pala_padel_STARVIE.MAIN_8164a11f-9a20-4ed2-98a9-35b21dfc2b25.png?v=1757489078&width=2000","https://starvie.com/cdn/shop/files/Astrum_pala_padel_STARVIE.PT01.png?v=1757489078&width=2000","https://starvie.com/cdn/shop/files/Astrum_pala_padel_STARVIE.PT02.png?v=1757489078&width=2000","https://starvie.com/cdn/shop/files/Astrum_pala_padel_STARVIE.PT03.png?v=1757489078&width=2000","","Astrum +","€299,00","High","Versatile","Sold Out"
"https://starvie.com/en/products/triton-power","https://starvie.com/cdn/shop/files/Triton_Power_pala_padel_STARVIE.MAIN.png?v=1757413544&width=2000","https://starvie.com/cdn/shop/files/Triton_Power_pala_padel_STARVIE.PT01.png?v=1757413544&width=2000","https://starvie.com/cdn/shop/files/Triton_Power_pala_padel_STARVIE.PT02.png?v=1757413544&width=2000","https://starvie.com/cdn/shop/files/Triton_Power_pala_padel_STARVIE.PT03.png?v=1757413544&width=2000","","Triton Power +","€296,00","High","Attack","Sold Out"
"https://starvie.com/en/products/triton-balance","https://starvie.com/cdn/shop/files/Triton_Balance_pala_padel_STARVIE.MAIN_e4b55493-fbc3-49e7-b906-81dcc1558ec7.png?v=1757488825&width=2000","https://starvie.com/cdn/shop/files/Triton_Balance_pala_padel_STARVIE.PT01.png?v=1757488825&width=2000","https://starvie.com/cdn/shop/files/Triton_Balance_pala_padel_STARVIE.PT02.png?v=1757488825&width=2000","https://starvie.com/cdn/shop/files/Triton_Balance_pala_padel_STARVIE.PT03.png?v=1757488825&width=2000","Add to cart","Triton Balance +","€296,00","High","Versatile",""
"https://starvie.com/en/products/drax","https://starvie.com/cdn/shop/files/Drax_pala_de_padel_STARVIE.MAIN.png?v=1757413805&width=2000","https://starvie.com/cdn/shop/files/Drax_pala_de_padel_STARVIE.PT01.png?v=1757413805&width=2000","https://starvie.com/cdn/shop/files/Drax_pala_de_padel_STARVIE.PT02.png?v=1757413805&width=2000","https://starvie.com/cdn/shop/files/Drax_pala_de_padel_STARVIE.PT03.png?v=1757413805&width=2000","Add to cart","Drax +","€270,00","Intermediate","Versatile",""
"https://starvie.com/en/products/kenta","https://starvie.com/cdn/shop/files/Kenta_paladepadelSTARVIE.MAIN_3afd2c8f-c5b3-4c96-ae3b-00151eceda84.png?v=1757489110&width=2000","https://starvie.com/cdn/shop/files/Kenta_pala_de_padel_STARVIE.PT01_7a984f8d-33d3-4db6-b9bd-a9df995ac741.png?v=1757489116&width=2000","https://starvie.com/cdn/shop/files/Kenta_pala_de_padel_STARVIE.PT02_183c5379-4fb1-46cf-9e3e-7b64b6f279c6.png?v=1757489116&width=2000","https://starvie.com/cdn/shop/files/Kenta_pala_de_padel_STARVIE.PT03_44af2dff-5406-442e-9ec9-47e17f6b21d8.png?v=1757489116&width=2000","Add to cart","Kenta +","€265,00","Intermediate","Control",""
"https://starvie.com/en/products/polaris","https://starvie.com/cdn/shop/files/Polaris_pala_padel_STARVIE.MAIN.png?v=1757413934&width=2000","https://starvie.com/cdn/shop/files/PolarispalapadelSTARVIE.PT01.png?v=1757413934&width=2000","https://starvie.com/cdn/shop/files/PolarispalapadelSTARVIE.PT02.png?v=1757413934&width=2000","https://starvie.com/cdn/shop/files/PolarispalapadelSTARVIE.PT03.png?v=1757413934&width=2000","Add to cart","Polaris","€175,00","Beginner","Versatile",""
"https://starvie.com/en/products/arkos","https://starvie.com/cdn/shop/files/Arkos_pala_de_padel_STARVIE.MAIN.png?v=1757414008&width=2000","https://starvie.com/cdn/shop/files/ArkospaladepadelSTARVIE.PT01.png?v=1757414008&width=2000","https://starvie.com/cdn/shop/files/ArkospaladepadelSTARVIE.PT03.png?v=1757414008&width=2000","https://starvie.com/cdn/shop/files/ArkospaladepadelSTARVIE.PT04.png?v=1757414008&width=2000","Add to cart","Arkos","€150,00","Beginner","Control",""
"https://starvie.com/en/products/nyra","https://starvie.com/cdn/shop/files/Nyra_pala_de_padel_STARVIE.MAIN.png?v=1757414070&width=2000","https://starvie.com/cdn/shop/files/NyrapaladepadelSTARVIE.PT01.png?v=1757414070&width=2000","https://starvie.com/cdn/shop/files/NyrapaladepadelSTARVIE.PT02.png?v=1757414070&width=2000","https://starvie.com/cdn/shop/files/NyrapaladepadelSTARVIE.PT03.png?v=1757414070&width=2000","Add to cart","Nyra","€150,00","Beginner","Control",""
